Nikolay,Naumov,Perm Uni,LECTURER,nn@pu.ru,13 lenina street Perm russia 6511,+79161234556,NO,Russian,25452
Hummer,MC,Bejing IT c,DEVELOPER,LeoMC@gmail.com,23 ning street Bejin China 4543,+12455839493,YES,Chineese,18000
Charlie,Ning,HKIT,NETWORK WORKER,ch65@hk.com,12 koolun street Honk Kong,+3564654645665,YES,Chineese,15753
Alina,Belyaeva,KievGU,PROFESSOR,AlinaBel@mail.ru,13 muhina street Kiev Ukraine,+73448975789,NO,Ukrainian,13512
Federico,Pavlichetti,ItalyNetwork,ADVISOR,FedPav@gmail.com,122 sam street Venice Italiy,+324987654387,YES,Italian,28148
Andrey,Lobanov,Moscow Hospital,DOCTOR,Lobanov@bk.ru,123 tverskya street Moscow Russia,+784838294632,NO,Russian,19154
Taylor,Yanker,Finance IT chicago,ENGINEER,TalYa@mail.com,12 Brighton street Chicago,+128493045832,YES,American,27482
Marko,Pollo,Italy main Uni,STUDENT,markoP@gmail.com,65 Calleoni Bergarno Itally,+348793091239,NO,Italian,17633
kira,Hunglu,Indian Uni,ENGINEER,hunglu@gmail.com,34 parac street New Delhy  India,+4673282837762,YES,Indian,27958
Maddu,Grishno,Indian Uni,ARCHITECT,Maddu123@mail.com,123 guamo street New Delhy India,+233434234454,YES,Indian,19608
Lian,Ken,Korean National Bank,IT ENGINEER,LianKen@mail.ko,123 sinpin Seul Korea,+489389578989,NO,Korean,24736
