Margarita,Plotnikova,ACG,STUDENT,marplot@aut.ac.nz,1 shelly road Auckland 2700,+64237398354,NO,New Zealander,How to  shake alchohol drinks,D,14681
Kristina,Eltsova,Auk Finance ct,THE BOSS,koshak@afc.ac.nz,23 queen street Auckland 1100,+6414934583291,YES,New Zealander,best way to steel one Bil legally,,19516
Mark,Green,NZarmy,GENERAL,Mark23@hotmail.com,76 robies road Auckland,+643829649287,NO,New Zealander,How safe live in UNi,D,14156
Liza,Kim,NZ im Center,ADVISOR,Lk34@hotmail.com,23 pit street Auckland 1320,+64579846786,YES,New Zealander,Work visa,D,22620
Khalid,gonesh,Unitec,PROFESSOR,khg@gmail.com,12 carrington road  Auckland,+64285830942,NO,New Zealander,Java 8,D,16903
Andrey,Lobanov,Moscow Hospital,DOCTOR,Lobanov@bk.ru,123 tverskya street Moscow Russia,+784838294632,NO,Russian,safe health in University,I,19154
Taylor,Yanker,Finance IT chicago,ENGINEER,TalYa@mail.com,12 Brighton street Chicago,+128493045832,YES,American,Business IT networks,,27482
Marko,Pollo,Italy main Uni,STUDENT,markoP@gmail.com,65 Calleoni Bergarno Itally,+348793091239,NO,Italian,Learn Java faster,,17633
Her,Ling,Bejing Uni,YOUNG LECTURER,Ling234@gmail.com,123 Huns street Beging China,+198390367483,NO,New Zealander,Python best lang,D,18013
kira,Hunglu,Indian Uni,ENGINEER,hunglu@gmail.com,34 parac street New Delhy  India,+4673282837762,YES,Indian,Arduino,I,27958
Maddu,Grishno,Indian Uni,ARCHITECT,Maddu123@mail.com,123 guamo street New Delhy India,+233434234454,YES,Indian,Types of fundaments,I,19608
Lian,Ken,Korean National Bank,IT ENGINEER,LianKen@mail.ko,123 sinpin Seul Korea,+489389578989,NO,Korean,Bussines IT in Korea,I,24736
Daria,Rymareva,Chita gov,INSPECTOR,daram@gmail.com,12 fuh street Auckland 12345,+6443223232323,NO,New Zealander,hah,D,12188
Boris,Avdeev,Unitec,STUDENT,cdne47@bk.ru,12 sup street Auckland 1234,+644268310,YES,New Zealander,Java 8,D,27953
